1697659851: Euphrasia officinalis
2573258025: Bryoerythrophyllum recurvirostrum
2597666444: Carduus tenuiflorus
1931288980: Agoseris parviflora
1930241969: Spiraea canescens
1929944910: Chylismia scapoidea
1931007576: Carex typhina
1928514234: Stachys hispida
1928658806: Solanum donianum
1931124118: Suaeda nigra
1929752296: Dryopteris intermedia
2562899020: Spiranthes ochroleuca
1931255575: Rosa woodsii
1929858478: Carex folliculata
1937505702: Pteridium aquilinum
474656434: Halgania cyanea
1265505301: Neea floribunda
1265483891: Mendoncia coccinea
3416707560: Platygyrium repens
3416740305: Pseudoleskea saviana
1426171668: Albizia niopoides
1802583431: Jasione humilis
2512855384: Clematis ladakhiana
1318293083: Cordia sulcata
3005670412: Oplismenus burmanni
1318526260: Tripsacum maizar
1802569032: Lobelia flexuosa
1456345670: Solidago stricta
1998333126: Philadelphus coulteri
1998550976: Apocynum floribundum
1998969928: Spiraea salicifolia
1998473911: Persicaria sagittata
2425414867: Goodyera oblongifolia
1999314904: Asplenium trichomanes
1998413329: Poa palustris
1999026558: Inga flexuosa
1998316723: Porella platyphylla
1999167579: Pseudoziziphus parryi
3356803607: Vicia americana
2575053354: Sambucus racemosa
1999311542: Arisaema triphyllum
1999283271: Panicum clandestinum
3459889344: Coelogyne xyrekes
1999006043: Carex stricta
1998497875: Rhus ovata
1998722787: Paraleucobryum longifolium
1999143240: Antennaria neglecta
2608680770: Liatris spicata
1999056693: Actaea rubra
2608673843: Viburnum nudum
1998571450: Viola primulifolia
1998994775: Stellaria media
1998482052: Silene dioica
1999328636: Dactylorhiza viridis
731408891: Quercus suber
438153065: Handroanthus impetiginosum
437056001: Senna multiglandulosa
437693558: Brimeura amethystina
1212575663: Rumex crispus
1212567865: Tigridia pavonia
438120086: Datura stramonium
438645471: Viola stipularis
438118888: Adenia cissampeloides
437639743: Hesperocodon hederaceus
437308856: Pauridiantha paucinervis
438633225: Senecio puberulus
439286989: Elaeis guineensis
474921033: Besleria melancholica
667499366: Silene nutans
437356552: Dehaasia cuneata
437659994: Passiflora sexflora
437656118: Betula alleghaniensis
436990042: Stelis ruprechtiana
438202601: Isochilus linearis
438582009: Solanum bahamense
438299177: Justicia mediocris
437448502: Sphaeranthus senegalensis
3334581963: Poa arctica
2625898343: Xerophyllum asphodeloides
1563245392: Artemisia lactiflora
2426921679: Arceuthobium americanum
2236147388: Arctostaphylos crustacea
1675972550: Cyperus scariosus
2452262576: Stellaria cuspidata
1802596511: Apodanthera undulata
1563323313: Pilosella hyperborea
2849254057: Anemone sylvestris
1457812021: Ilex opaca
2610882325: Sigesbeckia orientalis
1456008930: Stevia serrata
2571435846: Acaena cylindristachya
1321842019: Marattia alata
2235750047: Miconia calvescens
2900445104: Agrostis scabra
1456276626: Solidago altissima
3467360175: Rhizomnium punctatum
1317278320: Sidalcea asprella
2421752896: Solanum mauritianum
1805297621: Tritomaria exsectiformis
1805431168: Scorpidium revolvens
1039025105: Chenopodium hybridum
1038991156: Eriogonum brachypodum
1805292273: Thysananthus auriculatus
1038924603: Eriophorum tenellum
1805298355: Frullania eboracensis
1805292635: Haplohymenium triste
1038926232: Solidago patula
1805440196: Sphagnum subnitens
1038967579: Suaeda linearis
1038933447: Nuttallanthus canadensis
2900436116: Agrostis stolonifera
2565407235: Crataegus mollis
2235813242: Physalis glutinosa
2625851024: Potamogeton gramineus
2592277723: Nectandra lineata
